%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
5632088000000,281583,5632088000000,,end,joint2,joint4,joint6,motortom2m,0.6421747755111804,0.04878876871137017,-0.5717743982302546,-0.42547398822096216,0.30651139779734216,3.514124253611545e-11,-6.416090830522058e-11,2.5485893515175034e-11,9.621133968336178e-11,-6.202503673007806e-11,0.0,0.0,0.0,0.0,0.0
5632108000000,281584,5632108000000,,end,joint2,joint4,joint6,motortom2m,0.6431747755111825,0.04886463661647955,-0.5726648341729126,-0.42613654066477924,0.30698845698198074,3.5179294789379183e-11,-6.423926049309166e-11,2.5517487344760294e-11,9.632835649496914e-11,-6.209630300598723e-11,0.0,0.0,0.0,0.0,0.0
5632128000000,281585,5632128000000,,end,joint2,joint4,joint6,motortom2m,0.6441747755112024,0.04894050452158982,-0.573555270115591,-0.42679909310860964,0.3074655161666273,3.521728324935322e-11,-6.431752359229191e-11,2.5549043257896822e-11,9.644523038516201e-11,-6.216746534854332e-11,0.0,0.0,0.0,0.0,0.0
5632148000000,281586,5632148000000,,end,joint2,joint4,joint6,motortom2m,0.6451747755111663,0.049016372426695654,-0.5744457060582153,-0.42746164555240007,0.30794257535124725,3.525520822257431e-11,-6.439569677982118e-11,2.55805618625694e-11,9.656196171642048e-11,-6.223852296500146e-11,0.0,0.0,0.0,0.0,0.0
5632168000000,281587,5632168000000,,end,joint2,joint4,joint6,motortom2m,0.6461747755111444,0.04909224033180326,-0.5753361420008538,-0.42812419799620205,0.3084196345358752,3.5293068604243736e-11,-6.447378181979694e-11,2.561204137241907e-11,9.66785488432214e-11,-6.230947750843976e-11,0.0,0.0,0.0,0.0,0.0
5632188000000,281588,5632188000000,,end,joint2,joint4,joint6,motortom2m,0.6471747755110346,0.04916810823690376,-0.5762265779434159,-0.4287867504399454,0.3088966937204596,3.533086521716292e-11,-6.455177696447881e-11,2.5643483262890667e-11,9.679499286967332e-11,-6.238032730867742e-11,0.0,0.0,0.0,0.0,0.0
5632208000000,281589,5632208000000,,end,joint2,joint4,joint6,motortom2m,0.6481747755109195,0.049243976142004264,-0.57711701388597,-0.4294493028836852,0.3093737529050413,3.536859741065874e-11,-6.462968332889288e-11,2.567488643220747e-11,9.69112928241742e-11,-6.245107339514788e-11,0.0,0.0,0.0,0.0,0.0
5632228000000,281590,5632228000000,,end,joint2,joint4,joint6,motortom2m,0.6491747755106996,0.049319844047095884,-0.5780074498284327,-0.43011185532735574,0.3098508120895742,3.540626590734008e-11,-6.470749922422725e-11,2.570625224369103e-11,9.702744964801164e-11,-6.252171416114743e-11,0.0,0.0,0.0,0.0,0.0
5632248000000,281591,5632248000000,,end,joint2,joint4,joint6,motortom2m,0.6501747755104628,0.049395711952186616,-0.5788978857708802,-0.43077440777101383,0.3103278712740991,3.544387075962902e-11,-6.478522454577007e-11,2.5737580756606977e-11,9.714346338157418e-11,-6.259224947871128e-11,0.0,0.0,0.0,0.0,0.0
5632268000000,281592,5632268000000,,end,joint2,joint4,joint6,motortom2m,0.6511747755101167,0.049471579857268466,-0.57978832171323,-0.4314369602146009,0.31080493045856983,3.548141039361291e-11,-6.486286170680589e-11,2.576886948930917e-11,9.725933168424474e-11,-6.266268162399742e-11,0.0,0.0,0.0,0.0,0.0
